Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Nevins, Allan,A short history of the United States,,,,New York,Modern Library,1945-01-01,HEB06921.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb06921.0001.001
Gere, David,How to make dances in an epidemic: tracking choreography in the age of AIDS,,,,"Madison, Wis.",The University of Wisconsin Press,2004-01-01,HEB06880.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb06880.0001.001,9780299200848
Reskin, Barbara F.,The realities of affirmative action in employment,,,,"Washington, DC",American Sociological Association,1998-01-01,HEB06869.0001.001,Sociology,https://hdl.handle.net/2027/heb06869.0001.001,9780912764368
,,Inside Soviet film satire: laughter with a lash,,,,Cambridge [UK],Cambridge University Press,1993-01-01,HEB07561.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07561.0001.001,9781139085588
Warrack, John Hamilton,German opera: from the beginnings to Wagner,,,,"Cambridge, UK",Cambridge University Press,2001-01-01,HEB07566.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07566.0001.001,9780521235327
Hiller, Johann Adam,Treatise on vocal performance and ornamentation,,,,"Cambridge, UK",Cambridge University Press,2001-01-01,HEB07564.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07564.0001.001,9780521353540
Wilmer, S. E.,"Theatre, society and the nation: staging American identities",,,,Cambridge,Cambridge University Press,2002-01-01,HEB07562.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07562.0001.001,9780521802642
Hawes, Clement,Mania and literary style: the rhetoric of enthusiasm from the Ranters to Christopher Smart,,,,"Cambridge, [U.K.]",Cambridge University Press,1996-01-01,HEB07596.0001.001,Literature,https://hdl.handle.net/2027/heb07596.0001.001,9781139085656
Rivers, Isabel,"Reason, grace, and sentiment: a study of the language of religion and ethics in England, 1660-1780",,,,"Cambridge, UK",Cambridge University Press,1991-01-01,HEB07593.0002.001,Literature,https://hdl.handle.net/2027/heb07593.0002.001,9780521383417
Luckhurst, Mary,Dramaturgy: a revolution in theatre,,,,Cambridge,Cambridge University Press,2006-01-01,HEB07563.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07563.0001.001,9780521849630
Williamson, John,"Strauss, Also sprach Zarathustra",,,,Cambridge,Cambridge University Press,1993-01-01,HEB07595.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07595.0001.001,9781139085359
Rivers, Isabel,"Reason, grace, and sentiment: a study of the language of religion and ethics in England, 1660-1780",,,,"Cambridge, UK",Cambridge University Press,1991-01-01,HEB07593.0001.001,Literature,https://hdl.handle.net/2027/heb07593.0001.001,9780521383400
Brunette, Peter,The films of Michelangelo Antonioni,,,,"Cambridge, U.K.",Cambridge University Press,1998-01-01,HEB07597.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07597.0001.001,9781139085526
Cook, Nicholas,"Beethoven, Symphony no. 9",,,,"Cambridge, UK",Cambridge University Press,1993-01-01,HEB07594.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07594.0001.001,9781139085809
Gloag, Kenneth,"Tippett, A child of our time",,,,"Cambridge, UK",Cambridge University Press,1999-01-01,HEB07592.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07592.0001.001,9781139085960
Brill, Lesley,John Huston's filmmaking,,,,"Cambridge, UK",Cambridge University Press,1997-01-01,HEB07640.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07640.0001.001,9781139085618
Faller, Lincoln B.,Crime and Defoe: a new kind of writing,,,,Cambridge [UK],Cambridge University Press,1993-01-01,HEB07644.0001.001,Literature,https://hdl.handle.net/2027/heb07644.0001.001,9781139085496
Brown, Jared,The theatre in America during the Revolution,,,,Cambridge [UK],Cambridge University Press,2006-01-01,HEB07643.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07643.0001.001,9781139085939
González Echevarría, Roberto,Myth and archive: a theory of Latin American narrative,,,,Cambridge,Cambridge University Press,1990-01-01,HEB07641.0001.001,Literature,https://hdl.handle.net/2027/heb07641.0001.001,9781139085243
Walmsley, Peter,The rhetoric of Berkeley's philosophy,,,,Cambridge [U.K.],Cambridge University Press,1990-01-01,HEB07647.0001.001,Literature,https://hdl.handle.net/2027/heb07647.0001.001,9780521374132
Aching, Gerard,The politics of Spanish American modernismo: by exquisite design,,,,"Cambridge, U.K.",Cambridge University Press,1997-01-01,HEB07645.0001.001,Literature,https://hdl.handle.net/2027/heb07645.0001.001,9780521572491
Houchin, John H.,Censorship of the American theatre in the twentieth century,,,,"Cambridge, UK",Cambridge University Press,2003-01-01,HEB07648.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07648.0001.001,9780521818193
Cooper, David,"Bartók, Concerto for orchestra",,,,"Cambridge, UK",Cambridge University Press,1996-01-01,HEB07642.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07642.0001.001,9781139085298
Berlioz, Hector,Berlioz's orchestration treatise: a translation and commentary,,,,"Cambridge, U.K.",Cambridge University Press,2002-01-01,HEB07653.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07653.0001.001,9780521239530
O'Brien, Karen,Narratives of enlightenment: cosmopolitan history from Voltaire to Gibbon,,,,"Cambridge, U.K.",Cambridge University Press,1997-01-01,HEB07654.0001.001,Literature,https://hdl.handle.net/2027/heb07654.0001.001,9781139085700
Grey, Thomas S.,Wagner's musical prose: texts and contexts,,,,"Cambridge, [U.K.]",Cambridge University Press,1995-01-01,HEB07650.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07650.0001.001,9781139085434
Jones, Timothy,"Beethoven, the Moonlight and other sonatas, op. 27 and op. 31",,,,"Cambridge, UK",Cambridge University Press,1999-01-01,HEB07646.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07646.0001.001,9780521598590
Carroll, Noël,Theorizing the moving image,,,,Cambridge [U.K.],Cambridge University Press,1996-01-01,HEB07656.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07656.0001.001,9781139085953
Flitter, Derek,Spanish Romantic literary theory and criticism,,,,"Cambridge, [U.K.]",Cambridge University Press,1992-01-01,HEB07649.0001.001,Literature,https://hdl.handle.net/2027/heb07649.0001.001,9781139085335
Fanning, David,"Nielsen, Symphony no. 5",,,,"Cambridge, U.K.",Cambridge University Press,1997-01-01,HEB07651.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07651.0001.001,9781139085724
Caballero, Carlo,Fauré and French musical aesthetics,,,,"Cambridge, U.K.",Cambridge University Press,2001-01-01,HEB07652.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07652.0001.001,9780521781077
,,Roberto Rossellini's Rome open city,,,,"Cambridge, UK",Cambridge University Press,2004-01-01,HEB07655.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07655.0001.001,9781139086042
Korstvedt, Benjamin M.,"Anton Bruckner, Symphony no. 8",,,,"Cambridge, UK",Cambridge University Press,2000-01-01,HEB07658.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07658.0001.001,9780521635370
Walsh, Stephen,Stravinsky: Oedipus rex,,,,"Cambridge, UK",Cambridge University Press,1993-01-01,HEB07659.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07659.0001.001,9781139085366
Irving, John,"Mozart, the ""Haydn"" quartets",,,,"Cambridge, UK",Cambridge University Press,1998-01-01,HEB07657.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07657.0001.001,9780521585613
Hilton, Wendy,Dance and music of court and theater: selected writings of Wendy Hilton,,,,"Stuyvesant, NY",Pendragon Press,1997-01-01,HEB07728.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07728.0001.001,9780945193982
Woodfield, Ian,English musicians in the age of exploration,,,,"Stuyvesant, N.Y.",Pendragon Press,1995-01-01,HEB07729.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07729.0001.001,9780945193593
Morrow, Mary Sue,Concert life in Haydn's Vienna: aspects of a developing musical and social institution,,,,"Stuyvesant, NY",Pendragon Press,1989-01-01,HEB07726.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07726.0001.001,9780918728838
Russolo, Luigi,The art of noises,,,,New York,Pendragon Press,1986-01-01,HEB07724.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07724.0001.001,9781576471142
Gottschalk, Marie,The prison and the gallows: the politics of mass incarceration in America,,,,"Cambridge, [U.K.]",Cambridge University Press,2006-01-01,HEB07801.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07801.0001.001,9780521864275
Keller, Kate Van Winkle,"Dance and its music in America, 1528-1789",,,,"Hillsdale, NY",Pendragon Press,2007-01-01,HEB07727.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07727.0001.001,9781576471272
Baron, John H.,Intimate music: a history of the idea of chamber music,,,,"Stuyvesant, NY",Pendragon Press,1998-01-01,HEB07731.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07731.0001.001,9781576471005
Larson, Steve,Analyzing jazz: a Schenkerian approach,,,,"Hillsdale, NY",Pendragon Press,2009-01-01,HEB07722.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07722.0001.001,9781576471869
Klein, Jennifer,"For all these rights: business, labor, and the shaping of America's public-private welfare state",,,,"Princeton, N.J.",Princeton University Press,2006-01-01,HEB07798.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07798.0001.001,9781400835669
Jacobs, Meg,Pocketbook politics: economic citizenship in twentieth-century America,,,,"Princeton, N.J.",Princeton University Press,2007-01-01,HEB07800.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07800.0001.001,9781400843787
Wall, Wendy,"Inventing the ""American way"": the politics of consensus from the New Deal to the civil rights movement",,,,Oxford [U.K.],Oxford University Press,2008-01-01,HEB07803.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07803.0001.001,9780199736829
Rugemer, Edward Bartlett,The problem of emancipation: the Caribbean roots of the American Civil War,,,,Baton Rouge,Louisiana State University Press,2008-01-01,HEB07807.0001.001,American: 1789-1899,https://hdl.handle.net/2027/heb07807.0001.001,9780807133385
Donagan, Barbara,"War in England, 1642-1649",,,,"Oxford, [U.K.]",Oxford University Press,2008-01-01,HEB07817.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb07817.0001.001,9780199565702
Kurashige, Scott,The shifting grounds of race: black and Japanese Americans in the making of multiethnic Los Angeles,,,,"Princeton, N.J.",Princeton University Press,2008-01-01,HEB07812.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07812.0001.001,9781400834006
Engel, Jeffrey A,"Cold War at 30,000 feet: the Anglo-American fight for aviation supremacy",,,,"Cambridge, Mass.",Harvard University Press,2007-01-01,HEB07813.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb07813.0001.001,9780674027046
Mann, Susan,The talented women of the Zhang family,,,,Berkeley,University of California Press,2007-01-01,HEB07816.0001.001,Asian: China and Inner Asia,https://hdl.handle.net/2027/heb07816.0001.001,9780520250901
Gaddis, Michael,There is no crime for those who have Christ: religious violence in the Christian Roman Empire,,,,Berkeley,University of California Press,2005-01-01,HEB07955.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb07955.0001.001,9780520930902
Walker, Joel Thomas,The legend of Mar Qardagh: narrative and Christian heroism in late antique Iraq,,,,Berkeley,University of California Press,2006-01-01,HEB07954.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb07954.0001.001,9780520932197
Watts, Edward Jay,City and school in late antique Athens and Alexandria,,,,Berkeley,University of California Press,2006-01-01,HEB07953.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb07953.0001.001,9780520931800
Harvey, Susan Ashbrook,Scenting salvation: ancient Christianity and the olfactory imagination,,,,Berkeley,University of California Press,2006-01-01,HEB07952.0001.001,European: General & Multiperiod,https://hdl.handle.net/2027/heb07952.0001.001,9780520931015
"Keil, Charlie (editor); Stamp"," Charlie (editor); Stamp, Shelley (editor)","American cinema's transitional era: audiences, institutions, practices",,,,Berkeley,University of California Press,2004-01-01,HEB08010.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08010.0001.001,9780520240278
Himerius, ca. 310-ca. 390,Man and the word: the orations of Himerius,,,,Berkeley,University of California Press,2007-01-01,HEB07951.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb07951.0001.001,9780520933712
Rapp, Claudia,Holy bishops in late antiquity: the nature of Christian leadership in an age of transition,,,,Berkeley,University of California Press,2005-01-01,HEB07961.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb07961.0001.001,9780520931411
Soluri, John,"Banana cultures: agriculture, consumption, and environmental change in Honduras and the United States",,,,Austin,University of Texas Press,2005-01-01,HEB07959.0001.001,Environmental History,https://hdl.handle.net/2027/heb07959.0001.001,9780292796836
Abel, Richard,"Americanizing the movies and ""movie-mad"" audiences, 1910-1914",,,,Berkeley,University of California Press,2006-01-01,HEB08012.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08012.0001.001,9780520939523
,,American cinema of the 1990s: themes and variations,,,,"New Brunswick, N.J.",Rutgers University Press,2008-01-01,HEB08009.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08009.0001.001,9780813545783
Tzioumakis, Yannis,American independent cinema: an introduction,,,,"New Brunswick, NJ",Rutgers University Press,2006-01-01,HEB08011.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08011.0001.001,9780813539713
Chatman, Seymour Benjamin,"Antonioni, or, The surface of the world",,,,Berkeley,University of California Press,1985-01-01,HEB08016.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08016.0001.001,9780520053410
,,"Fields of vision: essays in film studies, visual anthropology, and photography",,,,Berkeley,University of California Press,1995-01-01,HEB08055.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08055.0001.001,9780520085244
,,"Endless night: cinema and psychoanalysis, parallel histories",,,,Berkeley,University of California Press,1999-01-01,HEB08053.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08053.0001.001,9780520207486
McLean, Adrienne L.,"Dying swans and madmen: ballet, the body, and narrative cinema",,,,"Piscataway, NJ",Rutgers University Press,2008-01-01,HEB08049.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08049.0001.001,9780813544670
Pearson, Roberta E.,Eloquent gestures: the transformation of performance style in the Griffith Biograph films,,,,Berkeley,University of California Press,1992-01-01,HEB08052.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08052.0001.001,9780520911048
"Ray, Nicholas; Ray"," Nicholas; Ray, Susan (editor)",I was interrupted: Nicholas Ray on making movies,,,,Berkeley,University of California Press,1995-01-01,HEB08089.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08089.0001.001,9780520201699
Brook, Vincent,Driven to darkness: Jewish émigré directors and the rise of film noir,,,,"New Brunswick, N.J.",Rutgers University Press,2009-01-01,HEB08048.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08048.0001.001,9780813548333
Ivory, James,James Ivory in conversation: how Merchant Ivory makes its movies,,,,Berkeley,University of California Press,2005-01-01,HEB08096.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08096.0001.001,9780520940369
Kozloff, Sarah,Invisible storytellers: voice-over narration in American fiction film,,,,Berkeley,University of California Press,1988-01-01,HEB08093.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08093.0001.001,9780520909663
Vieira, Mark A.,Irving Thalberg: boy wonder to producer prince,,,,Berkeley,University of California Press,2010-01-01,HEB08094.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08094.0001.001,9780520945111
Kalinak, Kathryn Marie,How the West was sung: music in the Westerns of John Ford,,,,Berkeley,University of California Press,2007-01-01,HEB08088.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08088.0001.001,9780520941076
Benamou, Catherine L.,It's all true: Orson Welles's Pan-American Odyssey,,,,Berkeley,University of California Press,2007-01-01,HEB08095.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08095.0001.001,9780520938144
Nemerov, Alexander,Icons of grief: Val Lewton's home front pictures,,,,Berkeley,University of California Press,2005-01-01,HEB08090.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08090.0001.001,9780520241008
Bazin, André,"What is cinema?, Vol. 1",,,,Berkeley,University of California Press,2005-01-01,HEB08209.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08209.0001.001,9780520931251
Schiwy, Freya,"Indianizing film: decolonization, the Andes, and the question of technology",,,,"New Brunswick, N.J.",Rutgers University Press,2009-01-01,HEB08091.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08091.0001.001,9780813547138
Kawin, Bruce F.,How movies work,,,,Berkeley,University of California Press,1992-01-01,HEB08087.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08087.0001.001,9780520076969
Dixon, Wheeler W.,Visions of paradise: images of Eden in the cinema,,,,"New Brunswick, NJ",Rutgers University Press,2006-01-01,HEB08206.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08206.0001.001,9780813552415
Bazin, André,"What is cinema?, Vol. 2",,,,Berkeley,University of California Press,2005-01-01,HEB08209.0002.001,Film & Media Studies,https://hdl.handle.net/2027/heb08209.0002.001,9780520020344
Armes, Roy,Third World film making and the West,,,,Berkeley,University of California Press,1987-01-01,HEB08201.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08201.0001.001,9780520056909
Spadoni, Robert,Uncanny bodies: the coming of sound film and the origins of the horror genre,,,,Berkeley,University of California Press,2007-01-01,HEB08205.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08205.0001.001,9780520940703
Smith, Jacob,Vocal tracks: performance and sound media,,,,Berkeley,University of California Press,2008-01-01,HEB08207.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08207.0001.001,9780520942844
,,Electronic media and technoculture,,,,"New Brunswick, NJ",Rutgers University Press,2000-01-01,HEB08267.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08267.0001.001,9780813527345
Bodroghkozy, Aniko,Groove tube: sixies television and the youth rebellion,,,,Durham [N.C.],Duke University Press,2001-01-01,HEB08274.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08274.0001.001,9780822380085
Bernardi, Daniel,Star trek and history: race-ing toward a white future,,,,"New Brunswick, NJ",Rutgers University Press,1999-01-01,HEB08268.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08268.0001.001,9780813524665
Studlar, Gaylyn,This mad masquerade: stardom and masculinity in the Jazz Age,,,,New York,Columbia University Press,1996-01-01,HEB08202.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08202.0001.001,9780231103213
,,Reality TV: remaking television culture,,,,New York,New York University Press,2009-01-01,HEB08301.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08301.0001.001,9780814757345
Butsch, Richard,"The making of American audiences: from stage to television, 1750-1990",,,,"Cambridge, UK",Cambridge University Press,2000-01-01,HEB08300.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08300.0001.001,9780521664837
Ouellette, Laurie,Viewers like you?: how public TV failed the people,,,,New York,Columbia University Press,2002-01-01,HEB08270.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08270.0001.001,9780231505994
Classen, Steven D.,"Watching Jim Crow: the struggles over Mississippi TV, 1955-1969",,,,"Durham, N.C.",Duke University Press,2004-01-01,HEB08275.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08275.0001.001,9780822385424
"Cameron, Alan; Long"," Alan; Long, Jacqueline",Barbarians and politics at the Court of Arcadius,,,,Berkeley,University of California Press,1993-01-01,HEB08399.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08399.0001.001,9780520302082
Caldwell, John Thornton,"Televisuality: style, crisis, and authority in American television",,,,"New Brunswick, NJ",Rutgers University Press,1995-01-01,HEB08299.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08299.0001.001,9780813521640
Hendershot, Heather,Saturday morning censors: television regulation before the V-chip,,,,"Durham, N.C.",Duke University Press,1998-01-01,HEB08296.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08296.0001.001,9780822378693
Anderson, Christopher,HollywoodTV: the studio system in the fifties,,,,Austin,University of Texas Press,1994-01-01,HEB08291.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08291.0001.001,9780292784604
Lim, Richard,"Public disputation, power, and social order in late antiquity",,,,Berkeley,University of California Press,1995-01-01,HEB08400.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb08400.0001.001,9780520085770
Chomsky, Noam,The sound pattern of English,,,,"Cambridge, Mass.",The MIT Press,1991-01-01,HEB08419.0001.001,Linguistics,https://hdl.handle.net/2027/heb08419.0001.001,9780262530972
Krueger, Derek,Symeon the holy fool: Leontius's Life and the late antique city,,,,Berkeley,University of California Press,1996-01-01,HEB08402.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb08402.0001.001,9780520089112
Bloom, Paul,How children learn the meanings of words,,,,"Cambridge, MA",The MIT Press,2000-01-01,HEB08415.0001.001,Linguistics,https://hdl.handle.net/2027/heb08415.0001.001,9780262523295
,,Introduction to Handbook of American Indian Languages and Indian Linguistic Families of America North of Mexico,,,,Lincoln,University of Nebraska Press,1966-01-01,HEB08417.0001.001,Linguistics,https://hdl.handle.net/2027/heb08417.0001.001,9780803250178
Chomsky, Noam,Language and mind,,,,Cambridge,Cambridge University Press,2006-01-01,HEB08422.0001.001,Linguistics,https://hdl.handle.net/2027/heb08422.0001.001,9780521858199
Aronoff, Mark,Word formation in generative grammar,,,,"Cambridge, Mass.",The MIT Press,1976-01-01,HEB08413.0001.001,Linguistics,https://hdl.handle.net/2027/heb08413.0001.001,9780262510172
McDermott, John J.,The drama of possibility: experience as philosophy of culture,,,,New York,Fordham University Press,2007-01-01,HEB08481.0001.001,Philosophy,https://hdl.handle.net/2027/heb08481.0001.001,9780823247745
,,Doctrine and experience: essays in American philosophy,,,,New York,Fordham University Press,1988-01-01,HEB08480.0001.001,Philosophy,https://hdl.handle.net/2027/heb08480.0001.001,9780823212101
Potter, Vincent G.,Charles S. Peirce on norms & ideals,,,,New York,Fordham University Press,1997-01-01,HEB08476.0001.001,Philosophy,https://hdl.handle.net/2027/heb08476.0001.001,9780823217106
Roth, Robert J.,British empiricism and American pragmatism: new directions and neglected arguments,,,,New York,Fordham University Press,1993-01-01,HEB08475.0001.001,Philosophy,https://hdl.handle.net/2027/heb08475.0001.001,9780823213924
Ward, Roger A.,Conversion in American philosophy: exploring the practice of transformation,,,,New York,Fordham University Press,2004-01-01,HEB08478.0001.001,Philosophy,https://hdl.handle.net/2027/heb08478.0001.001,9780823283118
Thomason, Sarah Grey,"Language contact, creolization, and genetic linguistics",,,,Berkeley,University of California Press,1991-01-01,HEB08465.0001.001,Linguistics,https://hdl.handle.net/2027/heb08465.0001.001,9780520078932
Boisvert, Raymond D.,Dewey's metaphysics,,,,New York,Fordham University Press,1988-01-01,HEB08479.0001.001,Philosophy,https://hdl.handle.net/2027/heb08479.0001.001,9780823283149
Cupitt, Don,Is nothing sacred?: the non-realist philosophy of religion : selected essays,,,,New York,Fordham University Press,2002-01-01,HEB08553.0001.001,Philosophy,https://hdl.handle.net/2027/heb08553.0001.001,9780823235322
Desmond, William,Is there a sabbath for thought?: between religion and philosophy,,,,New York,Fordham University Press,2005-01-01,HEB08554.0001.001,Philosophy,https://hdl.handle.net/2027/heb08554.0001.001,9780823248032
Dudiak, Jeffrey,The intrigue of ethics: a reading of the idea of discourse in the thought of Emmanuel Lévinas,,,,New York,Fordham University Press,2001-01-01,HEB08552.0001.001,Philosophy,https://hdl.handle.net/2027/heb08552.0001.001,9780823235759
Taylor, Mark C.,Journeys to selfhood: Hegel & Kierkegaard,,,,New York,Fordham University Press,2000-01-01,HEB08555.0001.001,Philosophy,https://hdl.handle.net/2027/heb08555.0001.001,9780823220595
,,Rethinking philosophy of religion: approaches from continental philosophy,,,,New York,Fordham University Press,2002-01-01,HEB08578.0001.001,Philosophy,https://hdl.handle.net/2027/heb08578.0001.001,9780823276974
"Boynton, Eric (editor); Kavka"," Eric (editor); Kavka, Martin (editor)",Saintly influence: Edith Wyschogrod and the possibilities of philosophy of religion,,,,New York,Fordham University Press,2009-01-01,HEB08579.0001.001,Philosophy,https://hdl.handle.net/2027/heb08579.0001.001,9780823230891
Spader, Peter H.,"Scheler's ethical personalism: its logic, development, and promise",,,,New York,Fordham University Press,2002-01-01,HEB08580.0001.001,Philosophy,https://hdl.handle.net/2027/heb08580.0001.001,9780823276950
Mackinlay, Shane,"Interpreting excess: Jean-Luc Marion, saturated phenomena, and hermeneutics",,,,New York,Fordham University Press,2010-01-01,HEB08551.0001.001,Philosophy,https://hdl.handle.net/2027/heb08551.0001.001,9780823247998
Róna-Tas, András,Hungarians and Europe in the early Middle Ages: an introduction to early Hungarian history,,,,Budapest,Central European University Press,1999-01-01,HEB08612.0001.001,Central European,https://hdl.handle.net/2027/heb08612.0001.001,9789639116481
Körösényi, András,Government and politics in Hungary,,,,Budapest,Central European University Press,1999-01-01,HEB08610.0001.001,Central European,https://hdl.handle.net/2027/heb08610.0001.001,9789639116764
Horner, Robyn,"Rethinking God as gift: Marion, Derrida, and the limits of phenomenology",,,,New York,Fordham University Press,2001-01-01,HEB08577.0001.001,Philosophy,https://hdl.handle.net/2027/heb08577.0001.001,9780823221233
Swindal, James,Reflection revisited: Jürgen Habermas's discursive theory of truth,,,,New York,Fordham University Press,1999-01-01,HEB08576.0001.001,Philosophy,https://hdl.handle.net/2027/heb08576.0001.001,9780823218073
Fritz, Verena,"State-building: a comparative study of Ukraine, Lithuania, Belarus, and Russia",,,,Budapest,Central European University Press,2007-01-01,HEB08642.0001.001,Central European,https://hdl.handle.net/2027/heb08642.0001.001,9789637326998
Balázs, Éva H,"Hungary and the Habsburgs, 1765-1800: an experiment in enlightened absolutism",,,,Budapest,Central European University Press,1997-01-01,HEB08613.0001.001,Central European,https://hdl.handle.net/2027/heb08613.0001.001,9789639116108
Berend, T. Iván,History in my life: a memoir of three eras,,,,Budapest,Central European University Press,2009-01-01,HEB08611.0001.001,Central European,https://hdl.handle.net/2027/heb08611.0001.001,9789639776487
Borhi, László,"Hungary in the Cold War, 1945-1956: between the United States and the Soviet Union",,,,Budapest,Central European University Press,2004-01-01,HEB08614.0001.001,Central European,https://hdl.handle.net/2027/heb08614.0001.001,9789639241800
,,Stalinism revisited: the establishment of communist regimes in East-Central Europe,,,,Budapest,Central European University Press,2009-01-01,HEB08641.0001.001,Central European,https://hdl.handle.net/2027/heb08641.0001.001,9789639776630
Likhachev, Dmitriĭ Sergeevich,Reflections on the Russian soul: a memoir,,,,Hungary,Central European University Press,2000-01-01,HEB08638.0001.001,Central European,https://hdl.handle.net/2027/heb08638.0001.001,9789639116467
Kun, Miklós,Stalin: an unknown portrait,,,,Budapest,Central European University Press,2003-01-01,HEB08640.0001.001,Central European,https://hdl.handle.net/2027/heb08640.0001.001,9789639241190
,,A laboratory of transnational history: Ukraine and recent Ukrainian historiography,,,,Budapest,Central European University Press,2009-01-01,HEB08644.0001.001,Central European,https://hdl.handle.net/2027/heb08644.0001.001,9789639776432
,,On the edge: Ukrainian-Central European-Russian security triangle,,,,Budapest,Central European University Press,2000-01-01,HEB08637.0001.001,Central European,https://hdl.handle.net/2027/heb08637.0001.001,9789639116801
Tilburg, Patricia A.,"Colette's republic: work, gender, and popular culture in France, 1870-1914",,,,New York,Berghahn Books,2009-01-01,HEB08703.0001.001,Gender Studies,https://hdl.handle.net/2027/heb08703.0001.001,9781845459307
Usborne, Cornelie,Cultures of abortion in Weimar Germany,,,,New York,Berghahn Books,2011-01-01,HEB08708.0001.001,Gender Studies,https://hdl.handle.net/2027/heb08708.0001.001,9781845453893
